,country_life,Year,liver_death,country_pop,LifeExpectancy,Region,Country Name,Indicator Name,Pop
50,Ecuador,1989,0.004126479619719741,Ecuador,71.3,Latin America & Caribbean,Ecuador,"Population, female",4967915.0
51,"Egypt, Arab Rep.",1989,0.003477290341308885,"Egypt, Arab Rep.",67.0,Middle East & North Africa,"Egypt, Arab Rep.","Population, female",27262607.0
52,Eritrea,1989,0.0036589040506220137,Eritrea,51.3,Sub-Saharan Africa,Eritrea,"Population, female",1115088.0
53,Spain,1989,0.008029970881507477,Spain,80.7,Europe & Central Asia,Spain,"Population, female",19800819.0
54,Estonia,1989,0.003126695873120838,Estonia,74.3,Europe & Central Asia,Estonia,"Population, female",834747.0
55,Ethiopia,1989,0.003521154228322242,Ethiopia,48.7,Sub-Saharan Africa,Ethiopia,"Population, female",23202619.0
56,Finland,1989,0.003465641838041873,Finland,79.1,Europe & Central Asia,Finland,"Population, female",2556525.0
57,Fiji,1989,0.0026997552558319484,Fiji,67.6,East Asia & Pacific,Fiji,"Population, female",356699.0
58,France,1989,0.0036655325934786477,France,80.9,Europe & Central Asia,France,"Population, female",29736470.0
59,"Micronesia, Fed. Sts.",1989,0.0030031990598681202,"Micronesia, Fed. Sts.",65.1,East Asia & Pacific,"Micronesia, Fed. Sts.","Population, female",45951.0
60,Gabon,1989,0.008148852369957897,Gabon,62.3,Sub-Saharan Africa,Gabon,"Population, female",471232.0
61,United Kingdom,1989,0.002625067416504106,United Kingdom,78.4,Europe & Central Asia,United Kingdom,"Population, female",29332580.0
62,Georgia,1989,0.006029705024450057,Georgia,74.0,Europe & Central Asia,Georgia,"Population, female",2520853.0
63,Ghana,1989,0.005316004188281928,Ghana,57.9,Sub-Saharan Africa,Ghana,"Population, female",7129415.0
64,Guinea,1989,0.008066035605785745,Guinea,50.9,Sub-Saharan Africa,Guinea,"Population, female",3210995.0
65,"Gambia, The",1989,0.0080531288260546,"Gambia, The",53.5,Sub-Saharan Africa,"Gambia, The","Population, female",458207.0
66,Guinea-Bissau,1989,0.009472405281018071,Guinea-Bissau,50.0,Sub-Saharan Africa,Guinea-Bissau,"Population, female",493011.0
67,Equatorial Guinea,1989,0.004450337065507207,Equatorial Guinea,50.3,Sub-Saharan Africa,Equatorial Guinea,"Population, female",205153.0
68,Greece,1989,0.01566505940929557,Greece,79.5,Europe & Central Asia,Greece,"Population, female",5087756.0
69,Grenada,1989,0.0066214404679692885,Grenada,72.0,Latin America & Caribbean,Grenada,"Population, female",49234.0
70,Guatemala,1989,0.003819674306090618,Guatemala,65.2,Latin America & Caribbean,Guatemala,"Population, female",4424461.0
71,Guam,1989,0.002270624842317719,Guam,74.4,East Asia & Pacific,Guam,"Population, female",59455.0
72,Guyana,1989,0.0030270764018151836,Guyana,66.9,Latin America & Caribbean,Guyana,"Population, female",376601.0
73,Honduras,1989,0.004060519903356325,Honduras,69.0,Latin America & Caribbean,Honduras,"Population, female",2423335.0
74,Croatia,1989,0.0038920517463750175,Croatia,76.0,Europe & Central Asia,Croatia,"Population, female",2456288.0
75,Haiti,1989,0.0034513505048954984,Haiti,56.0,Latin America & Caribbean,Haiti,"Population, female",3505874.0
76,Hungary,1989,0.0075689365699232874,Hungary,73.8,Europe & Central Asia,Hungary,"Population, female",5443301.0
77,Indonesia,1989,0.001791584885229889,Indonesia,63.7,East Asia & Pacific,Indonesia,"Population, female",88748237.0
78,India,1989,0.0007436518054269171,India,58.2,South Asia,India,"Population, female",411482898.0
79,Ireland,1989,0.002484999228402066,Ireland,77.7,Europe & Central Asia,Ireland,"Population, female",1762576.0
80,"Iran, Islamic Rep.",1989,0.0023006264293060495,"Iran, Islamic Rep.",66.3,Middle East & North Africa,"Iran, Islamic Rep.","Population, female",26862249.0
81,Iraq,1989,0.0017572342842107989,Iraq,69.5,Middle East & North Africa,Iraq,"Population, female",8422326.0
82,Iceland,1989,0.0017638646114730653,Iceland,80.5,Europe & Central Asia,Iceland,"Population, female",125860.0
83,Israel,1989,0.003056893161362817,Israel,78.4,Middle East & North Africa,Israel,"Population, female",2260465.0
84,Italy,1989,0.009651591293234235,Italy,80.2,Europe & Central Asia,Italy,"Population, female",29114370.0
85,Jamaica,1989,0.0034944939109471398,Jamaica,74.0,Latin America & Caribbean,Jamaica,"Population, female",1216199.0
86,Jordan,1989,0.0008843088971369418,Jordan,71.4,Middle East & North Africa,Jordan,"Population, female",1617082.0
87,Japan,1989,0.010576560016160984,Japan,81.9,East Asia & Pacific,Japan,"Population, female",62402142.0
88,Kazakhstan,1989,0.005773335961416425,Kazakhstan,71.5,Europe & Central Asia,Kazakhstan,"Population, female",8366047.0
89,Kenya,1989,0.0011124725380070159,Kenya,59.9,Sub-Saharan Africa,Kenya,"Population, female",11505902.0
90,Kyrgyz Republic,1989,0.003653708514141854,Kyrgyz Republic,70.2,Europe & Central Asia,Kyrgyz Republic,"Population, female",2197767.0
91,Cambodia,1989,0.0022196907230925826,Cambodia,55.9,East Asia & Pacific,Cambodia,"Population, female",4500627.0
92,Kiribati,1989,0.005697846549171857,Kiribati,62.1,East Asia & Pacific,Kiribati,"Population, female",35803.0
93,"Korea, Rep.",1989,0.010295198281740853,"Korea, Rep.",75.9,East Asia & Pacific,"Korea, Rep.","Population, female",21174920.0
94,Kuwait,1989,0.0007525027336151357,Kuwait,73.4,Middle East & North Africa,Kuwait,"Population, female",906309.0
95,Lao PDR,1989,0.002764390780466776,Lao PDR,54.8,East Asia & Pacific,Lao PDR,"Population, female",2069172.0
96,Lebanon,1989,0.0021495290577246257,Lebanon,71.8,Middle East & North Africa,Lebanon,"Population, female",1381698.0
97,Liberia,1989,0.007343502227591936,Liberia,47.9,Sub-Saharan Africa,Liberia,"Population, female",1059440.0
98,Libya,1989,0.0020077253353391,Libya,70.3,Middle East & North Africa,Libya,"Population, female",2042112.0
99,St. Lucia,1989,0.0035611916963432643,St. Lucia,72.7,Latin America & Caribbean,St. Lucia,"Population, female",69078.0
100,Sri Lanka,1989,0.000907859903504422,Sri Lanka,73.2,South Asia,Sri Lanka,"Population, female",8459455.0
101,Lesotho,1989,0.002139600717589164,Lesotho,63.9,Sub-Saharan Africa,Lesotho,"Population, female",911385.0
102,Lithuania,1989,0.0022927200727899982,Lithuania,75.6,Europe & Central Asia,Lithuania,"Population, female",1940926.0
103,Luxembourg,1989,0.005444589633501338,Luxembourg,78.7,Europe & Central Asia,Luxembourg,"Population, female",192852.0
104,Latvia,1989,0.0029756014715191428,Latvia,74.2,Europe & Central Asia,Latvia,"Population, female",1424922.0
105,Morocco,1989,0.0005481645745734887,Morocco,66.3,Middle East & North Africa,Morocco,"Population, female",12204364.0
106,Moldova,1989,0.003616328238615669,Moldova,71.0,Europe & Central Asia,Moldova,"Population, female",1548532.0
107,Madagascar,1989,0.002429066385675104,Madagascar,52.2,Sub-Saharan Africa,Madagascar,"Population, female",5640027.0
108,Maldives,1989,0.000893884498711475,Maldives,61.3,South Asia,Maldives,"Population, female",105159.0
109,Mexico,1989,0.003919342056442229,Mexico,73.8,Latin America & Caribbean,Mexico,"Population, female",41588613.0
110,North Macedonia,1989,0.006009354831228883,North Macedonia,73.2,Europe & Central Asia,North Macedonia,"Population, female",991787.0
111,Mali,1989,0.012649576477409784,Mali,46.5,Sub-Saharan Africa,Mali,"Population, female",4197769.0
112,Malta,1989,0.0024202333756359424,Malta,79.1,Middle East & North Africa,Malta,"Population, female",178082.0
113,Myanmar,1989,0.006076927490149037,Myanmar,60.2,East Asia & Pacific,Myanmar,"Population, female",20898719.0
114,Montenegro,1989,0.005049875720591032,Montenegro,77.7,Europe & Central Asia,Montenegro,"Population, female",304958.0
115,Mongolia,1989,0.0188129230025794,Mongolia,62.9,East Asia & Pacific,Mongolia,"Population, female",1084361.0
116,Mozambique,1989,0.007427189906944062,Mozambique,46.8,Sub-Saharan Africa,Mozambique,"Population, female",6664701.0
117,Mauritania,1989,0.007366833213893747,Mauritania,61.2,Sub-Saharan Africa,Mauritania,"Population, female",997715.0
118,Mauritius,1989,0.0020101531698788026,Mauritius,73.3,Sub-Saharan Africa,Mauritius,"Population, female",527323.0
119,Malawi,1989,0.0017204919776322926,Malawi,48.2,Sub-Saharan Africa,Malawi,"Population, female",4574273.0
120,Malaysia,1989,0.002656644581326735,Malaysia,72.9,East Asia & Pacific,Malaysia,"Population, female",8619896.0
121,Namibia,1989,0.0006757790230404495,Namibia,64.5,Sub-Saharan Africa,Namibia,"Population, female",719170.0
122,Niger,1989,0.004977986238633598,Niger,44.2,Sub-Saharan Africa,Niger,"Population, female",3977512.0
123,Nigeria,1989,0.00615777098230649,Nigeria,47.2,Sub-Saharan Africa,Nigeria,"Population, female",46120585.0
124,Nicaragua,1989,0.002762625759053314,Nicaragua,67.4,Latin America & Caribbean,Nicaragua,"Population, female",2056015.0
125,Netherlands,1989,0.001971999998401081,Netherlands,80.1,Europe & Central Asia,Netherlands,"Population, female",7505071.0
126,Norway,1989,0.0022412712078533395,Norway,80.0,Europe & Central Asia,Norway,"Population, female",2137180.0
127,Nepal,1989,0.000898164029952155,Nepal,55.0,South Asia,Nepal,"Population, female",9285609.0
128,New Zealand,1989,0.0018217547380555605,New Zealand,78.3,East Asia & Pacific,New Zealand,"Population, female",1674210.0
129,Oman,1989,0.0013030331289785623,Oman,69.2,Middle East & North Africa,Oman,"Population, female",782789.0
130,Pakistan,1989,0.0016945733932366353,Pakistan,60.9,South Asia,Pakistan,"Population, female",50278141.0
131,Panama,1989,0.0029182578418772507,Panama,76.0,Latin America & Caribbean,Panama,"Population, female",1195919.0
132,Peru,1989,0.0039043126632513753,Peru,68.4,Latin America & Caribbean,Peru,"Population, female",10859786.0
133,Philippines,1989,0.0008776680774566866,Philippines,69.6,East Asia & Pacific,Philippines,"Population, female",29851832.0
134,Papua New Guinea,1989,0.002037573579673419,Papua New Guinea,58.0,East Asia & Pacific,Papua New Guinea,"Population, female",2213417.0
135,Poland,1989,0.004827320332401061,Poland,75.3,Europe & Central Asia,Poland,"Population, female",19472501.0
136,Puerto Rico,1989,0.0055877450240024076,Puerto Rico,78.7,Latin America & Caribbean,Puerto Rico,"Population, female",1807527.0
137,"Korea, Dem. People's Rep.",1989,0.010982498174281166,"Korea, Dem. People's Rep.",72.9,East Asia & Pacific,"Korea, Dem. People's Rep.","Population, female",10289098.0
138,Portugal,1989,0.004779426572879414,Portugal,78.1,Europe & Central Asia,Portugal,"Population, female",5188907.0
139,Paraguay,1989,0.0017443854441382735,Paraguay,70.6,Latin America & Caribbean,Paraguay,"Population, female",2029368.0
141,Qatar,1989,0.002058262642204248,Qatar,76.9,Middle East & North Africa,Qatar,"Population, female",152070.0
142,Romania,1989,0.0032962582358545163,Romania,72.9,Europe & Central Asia,Romania,"Population, female",11740585.0
143,Russian Federation,1989,0.003953623613633594,Russian Federation,73.4,Europe & Central Asia,Russian Federation,"Population, female",78662015.0
144,Rwanda,1989,0.0026814089881480635,Rwanda,34.9,Sub-Saharan Africa,Rwanda,"Population, female",3684630.0
145,Saudi Arabia,1989,0.0032697729026974908,Saudi Arabia,71.0,Middle East & North Africa,Saudi Arabia,"Population, female",6911795.0
146,Sudan,1989,0.0018021526765211121,Sudan,57.0,Sub-Saharan Africa,Sudan,"Population, female",9710609.0
147,Senegal,1989,0.006000032181990795,Senegal,58.8,Sub-Saharan Africa,Senegal,"Population, female",3666647.0
148,Singapore,1989,0.0052309595820731365,Singapore,78.2,East Asia & Pacific,Singapore,"Population, female",1454800.0
149,Solomon Islands,1989,0.002503561978424588,Solomon Islands,65.5,East Asia & Pacific,Solomon Islands,"Population, female",147390.0
150,Sierra Leone,1989,0.005523697591018004,Sierra Leone,39.1,Sub-Saharan Africa,Sierra Leone,"Population, female",2154354.0
151,El Salvador,1989,0.002833106008514348,El Salvador,68.9,Latin America & Caribbean,El Salvador,"Population, female",2661390.0
152,Somalia,1989,0.0032708746657222486,Somalia,47.0,Sub-Saharan Africa,Somalia,"Population, female",3546452.0
153,Serbia,1989,0.006826845658569124,Serbia,74.4,Europe & Central Asia,Serbia,"Population, female",3837790.0
154,South Sudan,1989,0.0024707825455264226,South Sudan,45.0,Sub-Saharan Africa,South Sudan,"Population, female",2772401.0
155,Sao Tome and Principe,1989,0.0009173376821934563,Sao Tome and Principe,60.2,Sub-Saharan Africa,Sao Tome and Principe,"Population, female",58866.0
156,Suriname,1989,0.004416458737876513,Suriname,70.8,Latin America & Caribbean,Suriname,"Population, female",195179.0
157,Slovak Republic,1989,0.004149618957534207,Slovak Republic,75.5,Europe & Central Asia,Slovak Republic,"Population, female",2699043.0
158,Slovenia,1989,0.0038812153079812606,Slovenia,77.1,Europe & Central Asia,Slovenia,"Population, female",1025452.0
159,Sweden,1989,0.006816740425504194,Sweden,80.5,Europe & Central Asia,Sweden,"Population, female",4298242.0
160,Eswatini,1989,0.0023702766828488965,Eswatini,63.8,Sub-Saharan Africa,Eswatini,"Population, female",420626.0
161,Seychelles,1989,0.0012711986825759108,Seychelles,75.4,Sub-Saharan Africa,Seychelles,"Population, female",34613.0
162,Syrian Arab Republic,1989,0.0014395242472794666,Syrian Arab Republic,72.1,Middle East & North Africa,Syrian Arab Republic,"Population, female",5974196.0
163,Chad,1989,0.006010756850459582,Chad,48.2,Sub-Saharan Africa,Chad,"Population, female",2911447.0
164,Togo,1989,0.006709392075402832,Togo,57.1,Sub-Saharan Africa,Togo,"Population, female",1863060.0
165,Thailand,1989,0.01027436245092392,Thailand,73.4,East Asia & Pacific,Thailand,"Population, female",28128266.0
166,Tajikistan,1989,0.0026246496939319793,Tajikistan,61.5,Europe & Central Asia,Tajikistan,"Population, female",2598442.0
167,Turkmenistan,1989,0.0022852645919898464,Turkmenistan,66.5,Europe & Central Asia,Turkmenistan,"Population, female",1824734.0
168,Timor-Leste,1989,0.001451313494965405,Timor-Leste,50.1,East Asia & Pacific,Timor-Leste,"Population, female",355540.0
169,Tonga,1989,0.00786980603494365,Tonga,69.5,East Asia & Pacific,Tonga,"Population, female",46761.0
170,Trinidad and Tobago,1989,0.004387218897575692,Trinidad and Tobago,69.9,Latin America & Caribbean,Trinidad and Tobago,"Population, female",608586.0
171,Tunisia,1989,0.0007968240939622965,Tunisia,71.0,Middle East & North Africa,Tunisia,"Population, female",4003393.0
172,Turkey,1989,0.0021741723908374334,Turkey,68.0,Europe & Central Asia,Turkey,"Population, female",26814801.0
173,Tanzania,1989,0.0034896549261249016,Tanzania,52.1,Sub-Saharan Africa,Tanzania,"Population, female",12264823.0
174,Uganda,1989,0.003214198073592327,Uganda,49.2,Sub-Saharan Africa,Uganda,"Population, female",8431341.0
175,Ukraine,1989,0.002449068217911525,Ukraine,74.2,Europe & Central Asia,Ukraine,"Population, female",27724830.0
176,Uruguay,1989,0.0018624387628876358,Uruguay,76.4,Latin America & Caribbean,Uruguay,"Population, female",1589314.0
177,United States,1989,0.002931613209944461,United States,78.7,North America,United States,"Population, female",125869265.0
178,Uzbekistan,1989,0.0021545125023282635,Uzbekistan,69.4,Europe & Central Asia,Uzbekistan,"Population, female",10071884.0
179,St. Vincent and the Grenadines,1989,0.0033537150268667776,St. Vincent and the Grenadines,72.1,Latin America & Caribbean,St. Vincent and the Grenadines,"Population, female",53970.0
180,"Venezuela, RB",1989,0.0032702624832543635,"Venezuela, RB",73.8,Latin America & Caribbean,"Venezuela, RB","Population, female",9509940.0
181,Vietnam,1989,0.004670365735150818,Vietnam,75.1,East Asia & Pacific,Vietnam,"Population, female",33616211.0
182,Vanuatu,1989,0.002267540945723447,Vanuatu,65.9,East Asia & Pacific,Vanuatu,"Population, female",69238.0
183,"Yemen, Rep.",1989,0.0016120150733968412,"Yemen, Rep.",58.9,Middle East & North Africa,"Yemen, Rep.","Population, female",5682329.0
184,South Africa,1989,0.0025917059649774132,South Africa,66.3,Sub-Saharan Africa,South Africa,"Population, female",18057604.0
185,Zambia,1989,0.0035449615894485617,Zambia,50.5,Sub-Saharan Africa,Zambia,"Population, female",3921058.0
186,Zimbabwe,1989,0.006295611311703366,Zimbabwe,61.4,Sub-Saharan Africa,Zimbabwe,"Population, female",5098790.0
187,Afghanistan,1990,0.002109532880201276,Afghanistan,52.1,South Asia,Afghanistan,"Population, female",6067694.0
188,Angola,1990,0.002706525670211877,Angola,47.1,Sub-Saharan Africa,Angola,"Population, female",5911638.0
189,Albania,1990,0.0050762592584046706,Albania,75.0,Europe & Central Asia,Albania,"Population, female",1603543.0
190,United Arab Emirates,1990,0.0009998143201976775,United Arab Emirates,73.7,Middle East & North Africa,United Arab Emirates,"Population, female",630117.0
191,Argentina,1990,0.004248907071741093,Argentina,75.3,Latin America & Caribbean,Argentina,"Population, female",16733715.0
192,Armenia,1990,0.006581285456675397,Armenia,71.0,Europe & Central Asia,Armenia,"Population, female",1823352.0
195,Antigua and Barbuda,1990,0.0052143145349017655,Antigua and Barbuda,73.5,Latin America & Caribbean,Antigua and Barbuda,"Population, female",32219.0
196,Australia,1990,0.001495690192081676,Australia,80.3,East Asia & Pacific,Australia,"Population, female",8557922.0
197,Austria,1990,0.00494353385771411,Austria,79.0,Europe & Central Asia,Austria,"Population, female",4005232.0
198,Azerbaijan,1990,0.004581669069315744,Azerbaijan,68.9,Europe & Central Asia,Azerbaijan,"Population, female",3666786.0
199,Burundi,1990,0.0037486852567813356,Burundi,48.8,Sub-Saharan Africa,Burundi,"Population, female",2774306.0
200,Belgium,1990,0.004930586767326593,Belgium,79.4,Europe & Central Asia,Belgium,"Population, female",5090672.0
201,Benin,1990,0.006771172340426365,Benin,56.2,Sub-Saharan Africa,Benin,"Population, female",2554949.0
202,Burkina Faso,1990,0.007435615889844569,Burkina Faso,50.5,Sub-Saharan Africa,Burkina Faso,"Population, female",4505343.0
203,Bangladesh,1990,0.0008967924416731601,Bangladesh,59.0,South Asia,Bangladesh,"Population, female",49955818.0
204,Bulgaria,1990,0.007259907398863384,Bulgaria,74.8,Europe & Central Asia,Bulgaria,"Population, female",4421544.0
205,Bahrain,1990,0.0016066056760377385,Bahrain,73.8,Middle East & North Africa,Bahrain,"Population, female",209759.0
206,"Bahamas, The",1990,0.0034781126784566166,"Bahamas, The",74.0,Latin America & Caribbean,"Bahamas, The","Population, female",129093.0
207,Bosnia and Herzegovina,1990,0.0036308241882134036,Bosnia and Herzegovina,74.3,Europe & Central Asia,Bosnia and Herzegovina,"Population, female",2252932.0
208,Belarus,1990,0.0022548268542485466,Belarus,75.3,Europe & Central Asia,Belarus,"Population, female",5410615.0
209,Belize,1990,0.005065496547718914,Belize,73.4,Latin America & Caribbean,Belize,"Population, female",92982.0
210,Bolivia,1990,0.00442408518854367,Bolivia,58.3,Latin America & Caribbean,Bolivia,"Population, female",3413135.0
211,Brazil,1990,0.002669320041970253,Brazil,70.3,Latin America & Caribbean,Brazil,"Population, female",74925448.0
212,Barbados,1990,0.006868842046176345,Barbados,76.9,Latin America & Caribbean,Barbados,"Population, female",135394.0
213,Brunei Darussalam,1990,0.0026088734410141074,Brunei Darussalam,72.1,East Asia & Pacific,Brunei Darussalam,"Population, female",122275.0
214,Bhutan,1990,0.0009845342842745844,Bhutan,53.9,South Asia,Bhutan,"Population, female",257990.0
215,Botswana,1990,0.0019211637784674774,Botswana,62.2,Sub-Saharan Africa,Botswana,"Population, female",671468.0
216,Central African Republic,1990,0.004205031435944525,Central African Republic,50.7,Sub-Saharan Africa,Central African Republic,"Population, female",1424484.0
217,Canada,1990,0.0021059867185302906,Canada,80.6,North America,Canada,"Population, female",13960202.0
218,Switzerland,1990,0.002865533738386952,Switzerland,81.1,Europe & Central Asia,Switzerland,"Population, female",3437405.0
219,Chile,1990,0.003804772250330327,Chile,76.8,Latin America & Caribbean,Chile,"Population, female",6754675.0
220,China,1990,0.014148183449051905,China,71.2,East Asia & Pacific,China,"Population, female",552721134.0
221,Cote d'Ivoire,1990,0.003621003710741629,Cote d'Ivoire,55.1,Sub-Saharan Africa,Cote d'Ivoire,"Population, female",5716647.0
222,Cameroon,1990,0.00886266066526676,Cameroon,54.6,Sub-Saharan Africa,Cameroon,"Population, female",5923729.0
223,"Congo, Dem. Rep.",1990,0.0033251812209506497,"Congo, Dem. Rep.",50.6,Sub-Saharan Africa,"Congo, Dem. Rep.","Population, female",17532879.0
224,"Congo, Rep.",1990,0.00517554704280094,"Congo, Rep.",57.4,Sub-Saharan Africa,"Congo, Rep.","Population, female",1197941.0
225,Colombia,1990,0.003723060751475687,Colombia,73.8,Latin America & Caribbean,Colombia,"Population, female",16787263.0
226,Comoros,1990,0.003191821141063875,Comoros,58.8,Sub-Saharan Africa,Comoros,"Population, female",205212.0
227,Cabo Verde,1990,0.003937849484141717,Cabo Verde,66.5,Sub-Saharan Africa,Cabo Verde,"Population, female",177762.0
228,Costa Rica,1990,0.0035142868032716455,Costa Rica,78.5,Latin America & Caribbean,Costa Rica,"Population, female",1547967.0
229,Cuba,1990,0.006125144645101746,Cuba,76.7,Latin America & Caribbean,Cuba,"Population, female",5289671.0
230,Cyprus,1990,0.0021958543328438962,Cyprus,78.8,Europe & Central Asia,Cyprus,"Population, female",377985.0
231,Czech Republic,1990,0.006131082160450421,Czech Republic,75.8,Europe & Central Asia,Czech Republic,"Population, female",5317169.0
232,Germany,1990,0.003770870429778024,Germany,78.8,Europe & Central Asia,Germany,"Population, female",41104568.0
233,Djibouti,1990,0.002368505353844476,Djibouti,58.4,Middle East & North Africa,Djibouti,"Population, female",293434.0
234,Denmark,1990,0.0038231024399531096,Denmark,77.8,Europe & Central Asia,Denmark,"Population, female",2605214.0
235,Dominican Republic,1990,0.0027284221170919137,Dominican Republic,69.6,Latin America & Caribbean,Dominican Republic,"Population, female",3544173.0
236,Algeria,1990,0.0011397124796237094,Algeria,68.8,Middle East & North Africa,Algeria,"Population, female",12722507.0
237,Ecuador,1990,0.004069015215758058,Ecuador,71.8,Latin America & Caribbean,Ecuador,"Population, female",5087226.0
