,Subregion,Year,Pop,Sat,Indicator Name
74,Southern Europe,1979,6026453.727272728,58.743632999999996,"Population, male"
75,Southern Europe,1980,6067929.181818183,64.15770699999999,"Population, male"
76,Southern Europe,1981,6105754.181818181,62.0105325,"Population, male"
77,Southern Europe,1982,6139821.181818182,63.973587,"Population, male"
78,Southern Europe,1983,6170064.818181818,64.736927,"Population, male"
79,Southern Europe,1984,6196533.818181821,65.314604,"Population, male"
80,Southern Europe,1985,6219327.909090913,62.740381,"Population, male"
81,Southern Europe,1986,6238430.272727274,68.86954300000001,"Population, male"
82,Southern Europe,1987,6253980.545454544,67.2535295,"Population, male"
83,Southern Europe,1988,6266512.090909091,64.56586925,"Population, male"
84,Southern Europe,1989,6276700.909090907,73.1472395,"Population, male"
85,Southern Europe,1990,6285134.999999996,71.90603250000001,"Population, male"
86,Southern Europe,1991,6292604.0,71.13101775,"Population, male"
87,Southern Europe,1992,6299389.999999997,70.00375375,"Population, male"
88,Southern Europe,1993,6305004.363636366,66.126157,"Population, male"
89,Southern Europe,1994,6308628.2727272725,67.518156,"Population, male"
90,Southern Europe,1996,6308358.3636363605,78.7012785,"Population, male"
91,Southern Europe,1997,6304791.7272727275,69.1780385,"Population, male"
92,Southern Europe,1998,6303715.545454543,65.10277375,"Population, male"
93,Southern Europe,1999,6310940.90909091,72.4731055,"Population, male"
94,Southern Europe,2000,6330299.545454547,70.2975815,"Population, male"
95,Southern Europe,2001,6363487.6363636395,72.45377149999999,"Population, male"
96,Southern Europe,2002,6408345.545454546,71.19613075000001,"Population, male"
97,Southern Europe,2003,6460055.909090906,69.56034849999999,"Population, male"
98,Southern Europe,2004,6511702.818181816,76.60527200000001,"Population, male"
99,Southern Europe,2005,6558039.0,74.46457014285714,"Population, male"
100,Southern Europe,2006,6597744.54545455,75.73047742857143,"Population, male"
101,Southern Europe,2007,6631600.363636366,75.49736457142856,"Population, male"
102,Southern Europe,2008,6659057.272727274,70.90429971428571,"Population, male"
103,Southern Europe,2009,6680060.999999999,67.41348057142856,"Population, male"
104,Southern Europe,2010,6694740.636363638,66.97011671428571,"Population, male"
105,Western Asia,2004,5742083.844234871,80.2058375,"Population, male"
106,Western Asia,2005,5890335.280845836,78.8227005,"Population, male"
107,Western Asia,2006,6047659.34520669,78.5133285,"Population, male"
108,Western Asia,2007,6213579.657710945,79.629284,"Population, male"
109,Western Asia,2008,6387061.937499998,74.146946,"Population, male"
110,Western Asia,2009,6566721.625,73.1712725,"Population, male"
111,Western Asia,2010,6751058.15772194,74.0145565,"Population, male"
